No,Latitude,Longitude,Peso
1067748531.0,2.8221645,-60.6918832,10.0
1067748558.0,2.8069197,-60.6743308,1.0
1067748702.0,2.8199746,-60.6924883,6.0
1067748843.0,2.8200301,-60.6915998,2.0
1067748884.0,2.821139,-60.6751928,1.0
1067748930.0,2.8181725,-60.6753064,1.0
1673568513.0,2.8370382,-60.7128832,1.0
1673621014.0,2.8134896,-60.679171,10.0
1673621341.0,2.8273501,-60.6773971,2.0
1673621519.0,2.8438629,-60.6673883,1.0
1673707915.0,2.805416,-60.6880024,1.0
1673708145.0,2.8157079,-60.683612,1.0
1673708270.0,2.8215058,-60.665603,1.0
1673708443.0,2.8282038,-60.6634381,2.0
1684682903.0,2.8080547,-60.7272459,1.0
1685344795.0,2.814303,-60.7123882,2.0
1687996037.0,2.8160681,-60.6855916,1.0
1700532493.0,2.8155881,-60.7360159,1.0
1700543317.0,2.8106427,-60.7029048,1.0
1701116404.0,2.8425886,-60.6537804,2.0
1706580382.0,2.8360504,-60.6903889,1.0
1710105237.0,2.8429949,-60.6576296,1.0
1710115604.0,2.8582791,-60.6664597,1.0
1710134589.0,2.8631332,-60.6674803,2.0
1710134592.0,2.8575812,-60.6589002,1.0
1710508913.0,2.8553636,-60.6633064,2.0
1711780123.0,2.8078478,-60.6958205,5.0
1711846561.0,2.8075805,-60.6912864,1.0
1712774117.0,2.8129847,-60.7191169,2.0
1712842203.0,2.8076551,-60.7165977,1.0
1713309021.0,2.8319491,-60.7206692,1.0
1719383814.0,2.825883,-60.7262557,1.0
1720638931.0,2.8253581,-60.7416792,4.0
1720639041.0,2.8168118,-60.7413372,1.0
1721068672.0,2.7981208,-60.74481,11.0
1721897516.0,2.7969545,-60.7416449,1.0
1722356998.0,2.8093305,-60.7319272,1.0
1722357024.0,2.8093057,-60.7321246,2.0
1722357030.0,2.8086761,-60.737847,1.0
1722357087.0,2.8087465,-60.7370751,1.0
1723199177.0,2.8029404,-60.7277548,1.0
3182669297.0,2.814539,-60.677094,1.0
3589901740.0,2.8264013,-60.6782966,2.0
3589971252.0,2.8192005,-60.6744277,1.0
3648081932.0,2.8220394,-60.6722968,2.0
3648084762.0,2.8215012,-60.673761,1.0
3710970920.0,2.8214756,-60.680559,3.0
3877613725.0,2.8243753,-60.7263676,1.0
4285277775.0,2.8290799,-60.7208573,1.0
6270810586.0,2.8122925,-60.730879,5.0
6929449053.0,2.8031353,-60.7187657,1.0
6945912850.0,2.8205377,-60.6699879,1.0
6948462876.0,2.8307465,-60.7276288,2.0
6948976937.0,2.8136433,-60.6701211,4.0
6950023886.0,2.8244057,-60.6710194,1.0
6950806723.0,2.8237328,-60.7158843,2.0
6950853769.0,2.8159498,-60.6917132,1.0
6950857512.0,2.8172182,-60.6821849,2.0
7069614076.0,2.7967918,-60.6981746,1.0
8518750867.0,2.7962544,-60.6983985,1.0
8629532349.0,2.7984181,-60.705544,1.0
8720034349.0,2.8165644,-60.745735,1.0
