Source,Target,Distancia,Peso_Source,Peso_Target
1067748531.0,1067748558.0,3104.0580000000004,10.0,1.0
1067748531.0,1067748702.0,326.33,10.0,6.0
1067748531.0,1067748843.0,262.923,10.0,2.0
1067748531.0,1067748884.0,1857.482,10.0,1.0
1067748531.0,1067748930.0,2149.1900000000005,10.0,1.0
1067748531.0,1673568513.0,3269.29,10.0,1.0
1067748531.0,1673621014.0,2253.391,10.0,10.0
1067748531.0,1673621341.0,2025.993,10.0,2.0
1067748531.0,1673621519.0,3962.8249999999994,10.0,1.0
1067748531.0,1673707915.0,2400.991,10.0,1.0
1067748531.0,1673708145.0,1636.127,10.0,1.0
1067748531.0,1673708270.0,3184.6669999999995,10.0,1.0
1067748531.0,1673708443.0,3687.2180000000003,10.0,2.0
1067748531.0,1684682903.0,5149.517999999999,10.0,1.0
1067748531.0,1685344795.0,3001.538,10.0,2.0
1067748531.0,1687996037.0,1355.0230000000001,10.0,1.0
1067748531.0,1700532493.0,5349.404,10.0,1.0
1067748531.0,1700543317.0,2273.8330000000005,10.0,1.0
1067748531.0,1701116404.0,5359.853000000001,10.0,2.0
1067748531.0,1706580382.0,2027.426,10.0,1.0
1067748531.0,1710105237.0,5251.286,10.0,1.0
1067748531.0,1710115604.0,6139.169999999998,10.0,1.0
1067748531.0,1710134589.0,6379.2329999999965,10.0,2.0
1067748531.0,1710134592.0,6100.455,10.0,1.0
1067748531.0,1710508913.0,5798.029999999999,10.0,2.0
1067748531.0,1711780123.0,2192.9820000000004,10.0,5.0
1067748531.0,1711846561.0,1983.3429999999998,10.0,1.0
1067748531.0,1712774117.0,3891.809,10.0,2.0
1067748531.0,1712842203.0,4189.178,10.0,1.0
1067748531.0,1713309021.0,3663.044000000001,10.0,1.0
1067748531.0,1719383814.0,4006.040000000001,10.0,1.0
1067748531.0,1720638931.0,5618.940000000001,10.0,4.0
1067748531.0,1720639041.0,5763.6990000000005,10.0,1.0
1067748531.0,1721068672.0,7841.519999999995,10.0,11.0
1067748531.0,1721897516.0,7597.1659999999965,10.0,1.0
1067748531.0,1722356998.0,5449.482999999998,10.0,1.0
1067748531.0,1722357024.0,5471.578999999998,10.0,2.0
1067748531.0,1722357030.0,6073.495999999998,10.0,1.0
1067748531.0,1722357087.0,5987.410999999998,10.0,1.0
1067748531.0,1723199177.0,5905.988000000003,10.0,1.0
1067748531.0,3182669297.0,2129.822,10.0,1.0
1067748531.0,3589901740.0,1882.3660000000002,10.0,2.0
1067748531.0,3589971252.0,2096.276,10.0,1.0
1067748531.0,3648081932.0,2246.571,10.0,2.0
1067748531.0,3648084762.0,2056.314,10.0,1.0
1067748531.0,3710970920.0,1260.226,10.0,3.0
