Source,Target,Distancia
318385390,1673568218,95.46399999999998
318385390,2352372792,85.156
318385407,6950942785,4.185
318385409,1673620871,27.154
318385418,1728469539,14.821
318385418,1728469624,132.202
318385422,1426836637,98.215
318385422,1700892762,80.071
318385426,1685344778,31.017
318385426,1687953370,189.243
318385426,1687953411,120.599
318385453,1673568527,10.829
318385453,2352711949,266.17900000000003
318385456,1673568529,46.971000000000004
318390522,1067748609,30.129
318390522,6938348499,149.208
321519672,6947307083,17.776
321519672,3648084764,150.094
321519687,1067748890,106.129
321519687,1067749027,146.934
321519687,1067749186,94.822
321519708,3844659245,37.558
321519708,1067748805,136.34199999999998
321519710,2171726897,12.576
321519710,6949029692,138.025
321520743,321519672,152.141
321520743,1067749186,84.461
321520744,1710049674,144.683
321520744,3182709571,19.409
416885891,318385390,16.77
655057543,1673568281,94.198
655057543,1711846542,87.904
655057543,1711846563,189.02100000000002
655057549,3884182674,122.487
655057549,1687960922,21.45
655057550,1687960983,62.648
655057550,655057552,360.979
655057550,655057549,98.106
655057552,655057553,329.74
655057552,1687960948,100.981
655057552,655057550,360.979
655057553,1426836671,214.786
655057553,655057552,329.74
655057553,1673568432,100.234
655057562,6949206886,212.409
655057562,1673621010,16.245
655057562,1687960960,425.449
655057565,1683886577,230.019
655057565,1684682924,51.08
655057576,1687960929,171.06
655057576,8660528721,11.829
655057576,1684682914,124.303
655057579,1426836671,99.12
655057579,1687960939,203.095
655057586,1683886512,93.53
655057586,5145878092,183.40399999999997
655057588,318385456,33.98
655057588,2660045950,230.76399999999995
655057592,12057486094,11.704
655057592,1728469578,84.269
655057592,6951182952,15.704999999999998
655057595,1685344732,227.187
655057595,1700531351,181.912
655057597,1728469610,54.085
655057597,1728469675,188.62800000000001
655057612,1728469674,12.657
655057612,1728469674,217.81699999999998
1067748528,3182669289,79.409
1067748528,3710851084,101.281
1067748529,1067748850,74.891
1067748529,1067748635,96.396
1067748529,1067748540,127.451
1067748529,1673621488,135.57
1067748530,1687953301,71.9
1067748530,1673708368,20.835
1067748531,1067748625,72.603
1067748531,1067749070,77.854
1067748533,6954021618,296.77099999999996
1067748533,1067749043,96.604
1067748536,1067748687,85.917
1067748537,6950023886,146.664
1067748537,1067749194,132.005
1067748537,1673708386,120.90699999999998
1067748538,1673708738,183.811
1067748538,1067748633,110.154
1067748538,1067749202,141.893
1067748538,1067748587,92.346
1067748540,1067748738,39.873
1067748540,1067748679,79.629
1067748540,1067748529,127.451
1067748542,1067748752,142.752
1067748542,1067748637,90.876
1067748542,1067748940,118.973
1067748545,1067748853,13.294
1067748545,1067748603,123.737
1067748545,1067748825,160.75799999999998
1067748546,1067748581,130.639
1067748546,3710994695,193.67000000000002
1067748546,1687995975,115.67600000000002
1067748547,1067748850,41.671
1067748547,1067749109,161.739
1067748547,1067748641,173.48
1067748548,1673620888,18.461
1067748548,1673707925,195.848
1067748548,1673707950,127.868
1067748549,1673707750,66.253
1067748549,1728438971,186.75400000000005
1067748549,1067748828,136.536
1067748550,1067748951,142.581
1067748550,1700999408,11.762
1067748551,1067748830,82.695
1067748551,1673707778,52.018
1067748551,1067749053,121.162
1067748551,1067748776,113.58200000000001
1067748552,1067748871,91.971
1067748552,1067748778,91.202
1067748552,1067749049,105.821
1067748552,1067749044,121.561
1067748553,1673708405,89.509
1067748553,1673708449,139.514
1067748553,1673708428,121.866
1067748553,1067748995,96.863
1067748554,1067748789,260.51
1067748554,1067748845,103.296
1067748557,1067748957,199.769
1067748557,1687995992,445.576
1067748557,1067748638,129.692
1067748558,1067748848,136.247
1067748558,1673707929,10.354
1067748558,1067748852,163.269
1067748559,1067748882,113.866
1067748559,1067748651,110.7
1067748559,1067749056,128.212
1067748559,1067748716,69.693
1067748561,1701714477,59.363
1067748561,1673621341,12.141
1067748561,1067748779,152.724
1067748563,1067748843,235.718
1067748563,1067748531,27.205
1067748564,1067749078,276.712
1067748564,1687953384,74.218
1067748564,1067748914,105.681
1067748565,1067748826,144.393
1067748565,1067748866,98.36
1067748565,1067748793,110.36
1067748566,1710049638,47.663
1067748566,321520744,170.15300000000002
1067748569,1673707888,51.784
1067748569,8461415535,15.927
1067748573,1067748909,223.804
1067748573,1067748891,103.266
1067748573,1687995990,130.264
1067748575,1067748957,32.639
1067748576,1711761397,115.443
1067748576,1067749190,146.208
1067748576,1067748816,140.678
1067748577,1067748608,169.63299999999998
1067748577,4232914092,107.95500000000001
1067748578,1673708336,136.672
1067748578,1673621196,10.69
1067748578,6947648761,123.495
1067748579,6270810580,202.428
1067748579,1673620916,14.301
1067748579,1673707999,123.018
1067748580,3707159533,66.13
1067748580,3182669296,133.679
1067748581,1067748546,130.639
1067748581,1067748936,98.699
1067748582,1673707790,60.708
1067748582,1673707809,72.538
1067748582,1728438947,69.903
1067748582,1673707816,163.576
1067748585,1067749218,123.156
1067748585,1067748690,81.07300000000001
1067748585,1067748999,85.647
1067748587,1067748932,105.481
1067748587,1709206505,161.523
1067748587,1067748538,92.346
1067748587,1710049680,190.16899999999998
1067748588,1067748879,197.662
1067748589,1673621352,153.642
1067748589,1067748672,139.96099999999998
1067748589,1067749007,180.88299999999998
1067748589,1067748880,131.405
1067748592,1067748645,87.084
1067748592,2371857169,79.544
1067748593,1067748761,118.559
1067748593,1673707778,64.939
1067748593,6951141299,134.601
1067748593,1673707766,33.996
1067748594,1067749172,124.006
1067748594,1067748783,148.81099999999998
1067748594,4351188992,16.624
1067748595,1067748783,169.557
1067748595,1673621384,12.371
1067748595,1673621361,182.405
1067748600,1067748948,187.936
1067748600,1067748640,155.694
1067748600,1067748879,99.421
1067748601,1673621067,139.701
1067748601,1673621059,10.077
1067748601,1067748656,124.277
1067748603,3727779429,15.038
1067748603,1067748661,144.104
1067748603,1067748545,123.737
1067748604,1673707883,59.639
1067748604,1673707874,59.645
1067748604,1067748787,120.687
1067748604,1067748689,119.02000000000001
1067748605,1067748659,87.807
1067748605,1067748833,92.819
1067748605,1067748771,126.134
1067748605,1067748859,170.80700000000002
1067748606,1067748963,145.51
1067748606,1067748725,70.448
1067748606,1067749247,52.794
1067748607,2328046411,172.57
1067748607,1673621116,16.281000000000002
1067748607,1067749223,134.26000000000002
1067748608,1067748577,169.63299999999998
1067748608,1067748636,87.874
1067748608,1067749060,86.15
1067748609,1067748845,272.057
1067748609,1067748789,99.368
1067748610,1673707972,140.152
1067748610,1700999388,10.259
1067748611,1673708329,161.9
1067748611,1673708347,178.072
1067748611,1912202234,126.181
1067748614,1067748871,120.837
1067748614,1067749044,83.61
1067748614,1067748757,127.274
1067748614,1067748922,172.93
1067748618,1067748663,73.813
1067748618,1687953352,14.5
1067748618,1673708286,69.837
1067748619,1673568424,14.131
1067748619,6938348495,116.659
1067748620,1673707842,12.489
1067748620,1067748872,68.384
1067748621,1673707740,45.152
1067748622,1067749056,103.554
1067748622,1067748725,109.168
1067748622,1067749167,119.484
1067748622,1067748651,136.703
1067748623,1673708795,136.587
1067748623,1067749173,100.924
1067748624,1067749249,169.91
1067748624,1067748848,93.438
1067748624,1673707930,130.599
1067748624,1673707917,95.107
1067748625,1673708289,69.945
1067748625,1673708309,64.811
1067748625,1067748531,72.603
1067748632,1067749018,42.216
1067748632,1709206497,170.545
1067748633,1067748538,110.154
1067748633,1067748945,176.237
1067748635,1067748738,111.607
1067748635,1067748529,96.396
1067748635,1067748788,75.673
1067748635,1673621492,127.74000000000001
1067748636,1067748779,170.374
1067748636,1687996007,123.063
1067748636,1067748608,87.874
1067748637,6950883224,140.61
1067748637,1673621175,86.884
1067748637,1067748542,90.876
1067748638,1067749180,272.846
1067748638,1687995985,129.798
1067748638,3712962526,119.351
1067748640,1067748600,155.694
1067748640,1687995917,98.446
1067748641,1067748696,327.114
1067748641,1067748895,85.743
1067748641,1067748547,173.48
1067748641,1067748937,150.445
1067748644,3182669297,166.919
1067748644,1673621074,97.478
1067748644,1700999424,13.407
1067748645,1687953332,72.625
1067748645,1067748883,110.94
1067748645,1067749008,99.012
1067748645,1067748592,87.084
1067748646,1673708381,131.31
1067748646,1687953407,107.561
1067748646,1067748746,31.832
1067748651,1067748559,110.7
1067748651,1067749073,120.199
1067748651,1067748985,113.125
1067748651,1067748622,136.703
1067748653,1067748719,143.103
1067748653,1701728628,6.576
1067748653,1700545072,255.091
1067748655,1067748690,40.465
1067748655,1067749024,104.797
1067748655,1067748859,82.90100000000001
