No,Latitude,Longitude,Peso
318385390,2.8058159,-60.6901605,0
318385407,2.8066021,-60.6896886,0
318385409,2.8070296,-60.6900824,0
318385418,2.827289,-60.6973199,0
318385422,2.8285381,-60.6982006,0
318385426,2.8295644,-60.7026886,0
318385453,2.8373286,-60.7126352,0
318385456,2.8377573,-60.7127308,0
318390522,2.8198634,-60.6945423,0
321519672,2.8234227,-60.6722277,0
321519687,2.8247349,-60.6735174,0
321519708,2.8183936,-60.6718457,0
321519710,2.8036764,-60.6848556,0
321520743,2.8247541,-60.671912,0
321520744,2.8435877,-60.6674772,0
416885891,2.8057512,-60.6902969,0
655057543,2.811798,-60.6928739,0
655057549,2.8162844,-60.6973553,0
655057550,2.8163639,-60.6982348,0
655057552,2.8196073,-60.6983731,0
655057553,2.8225719,-60.698443,0
655057562,2.8130364,-60.6933158,0
655057565,2.8341332,-60.7063625,0
655057576,2.8302945,-60.7059246,0
655057579,2.8243292,-60.6973438,0
655057586,2.8356353,-60.7121511,0
655057588,2.8380072,-60.7125547,0
655057592,2.8389153,-60.7093016,0
655057595,2.8348969,-60.7037668,0
655057597,2.8360949,-60.7007825,0
655057612,2.8404116,-60.707525,0
1067748528,2.820754,-60.6804479,0
1067748529,2.8373476,-60.6721821,0
1067748530,2.8253164,-60.6965986,0
1067748531,2.8221645,-60.6918832,10
1067748533,2.8364788,-60.689483,0
1067748536,2.7960179,-60.6870121,0
1067748537,2.825586,-60.67043,0
1067748538,2.8369622,-60.6661997,0
1067748540,2.8384567,-60.6718925,0
1067748542,2.8212357,-60.6765412,0
1067748545,2.8341028,-60.6824483,0
1067748546,2.8205287,-60.6838751,0
1067748547,2.8372592,-60.671576,0
1067748548,2.8080011,-60.6841876,0
1067748549,2.7955437,-60.6803682,0
1067748550,2.8174795,-60.6745424,0
1067748551,2.7977659,-60.6845699,0
1067748552,2.8359975,-60.6750307,0
1067748553,2.8272687,-60.6902654,0
1067748554,2.8222628,-60.6934273,0
1067748557,2.8202069,-60.6887907,0
1067748558,2.8069197,-60.6743308,1
1067748559,2.8364033,-60.6780455,0
1067748561,2.8272601,-60.6773352,0
1067748563,2.8221496,-60.6916387,0
1067748564,2.8285271,-60.687249,0
1067748565,2.8179125,-60.6768434,0
1067748566,2.8428956,-60.6688306,0
1067748569,2.8029069,-60.6754896,0
1067748573,2.8200867,-60.6907005,0
1067748575,2.8219956,-60.6885492,0
1067748576,2.7984959,-60.6781527,0
1067748577,2.8283558,-60.6752519,0
1067748578,2.8232939,-60.6659286,0
1067748579,2.81034,-60.6868284,0
1067748580,2.8161171,-60.677106,0
1067748581,2.8217034,-60.6838949,0
1067748582,2.7984477,-60.6807384,0
1067748585,2.8318987,-60.6772582,0
1067748587,2.8377921,-60.6661684,0
1067748588,2.8187029,-60.6847043,0
1067748589,2.829298,-60.6768296,0
1067748592,2.8318032,-60.6888025,0
1067748593,2.7970587,-60.6837907,0
1067748594,2.8270879,-60.671339,0
1067748595,2.828759,-60.6726408,0
1067748600,2.8204238,-60.6856737,0
1067748601,2.8147384,-60.6733944,0
1067748603,2.8350024,-60.6831041,0
1067748604,2.8021514,-60.6846249,0
1067748605,2.8334632,-60.6761518,0
1067748606,2.8340358,-60.6791727,0
1067748607,2.8187909,-60.6785352,0
1067748608,2.8269105,-60.6747631,0
1067748609,2.8198702,-60.6942711,0
1067748610,2.8109896,-60.6802118,0
1067748611,2.8234118,-60.6609423,0
1067748614,2.835025,-60.674112,0
1067748618,2.8227019,-60.6897909,0
1067748619,2.8223866,-60.6955219,0
1067748620,2.8002808,-60.6816597,0
1067748621,2.7945766,-60.6856534,0
1067748622,2.8349688,-60.6785363,0
1067748623,2.8408852,-60.6651743,0
1067748624,2.8061193,-60.6753118,0
1067748625,2.8228166,-60.6918502,0
1067748632,2.8385746,-60.6754263,0
1067748633,2.8365789,-60.6652851,0
1067748635,2.8379276,-60.6728272,0
1067748636,2.8265967,-60.6754888,0
1067748637,2.8204191,-60.6765231,0
1067748638,2.8202728,-60.6876248,0
1067748640,2.8218234,-60.6857143,0
1067748641,2.836256,-60.6703797,0
1067748644,2.8156779,-60.6761149,0
1067748645,2.8315196,-60.6880716,0
1067748646,2.8256611,-60.6908538,0
1067748651,2.8361086,-60.6789976,0
1067748653,2.8138229,-60.6723541,0
1067748655,2.8318344,-60.6764616,0
1067748656,2.8139067,-60.6741419,0
1067748658,2.8294556,-60.6789784,0
1067748659,2.8336253,-60.675378,0
1067748661,2.8356299,-60.6819688,0
1067748662,2.8213965,-60.6789514,0
1067748663,2.8220389,-60.6898239,0
1067748665,2.8328339,-60.6865849,0
1067748667,2.8099205,-60.679396,0
1067748669,2.8221266,-60.6912614,0
1067748670,2.8195946,-60.6673946,0
1067748672,2.8304255,-60.6773898,0
1067748674,2.8090241,-60.6747348,0
1067748675,2.8351245,-60.6714867,0
1067748676,2.8312684,-60.6703717,0
1067748677,2.8227455,-60.6912283,0
1067748679,2.8391452,-60.6716953,0
1067748680,2.825857,-60.6636977,0
1067748681,2.8287687,-60.6943711,0
1067748683,2.8313876,-60.6839421,0
1067748686,2.8292345,-60.6889553,0
1067748687,2.79663,-60.68654,0
1067748689,2.8028426,-60.685443,0
1067748690,2.8321773,-60.6765836,0
1067748691,2.8369984,-60.6736651,0
1067748692,2.8219276,-60.687675,0
1067748693,2.8015714,-60.6811381,0
1067748694,2.8386834,-60.6686097,0
1067748695,2.8274226,-60.6794861,0
1067748696,2.8391238,-60.6697232,0
1067748698,2.8339927,-60.6702168,0
1067748699,2.7990705,-60.6828855,0
1067748701,2.8222625,-60.6788233,0
1067748702,2.8199746,-60.6924883,6
1067748706,2.7963389,-60.6878311,0
1067748708,2.842089,-60.6702916,0
1067748709,2.8225526,-60.6803335,0
1067748710,2.8302841,-60.6915877,0
1067748713,2.8317982,-60.6791653,0
1067748715,2.7972328,-60.6811126,0
1067748716,2.8369942,-60.6782547,0
1067748717,2.7981584,-60.6866714,0
1067748718,2.8066723,-60.671415,0
1067748719,2.8147865,-60.6715,0
1067748720,2.8242599,-60.6591615,0
1067748721,2.8148086,-60.67513,0
1067748723,2.8300201,-60.670664,0
1067748725,2.8346058,-60.6794496,0
1067748726,2.8069657,-60.6765572,0
1067748727,2.8369181,-60.6742986,0
1067748728,2.8272112,-60.6624967,0
1067748732,2.8332529,-60.6818106,0
1067748733,2.8302592,-60.67261,0
1067748735,2.8331538,-60.6725698,0
1067748736,2.7974444,-60.6858493,0
1067748738,2.8386858,-60.6721687,0
1067748740,2.7965202,-60.6796508,0
1067748741,2.8331565,-60.6787482,0
1067748742,2.8409924,-60.672305,0
1067748744,2.8033054,-60.6750789,0
1067748745,2.8012198,-60.6868579,0
1067748746,2.8259266,-60.6907472,0
1067748750,2.7946623,-60.6814492,0
1067748751,2.8480897,-60.6663712,0
1067748752,2.82131,-60.6778244,0
1067748753,2.8390152,-60.6740523,0
1067748754,2.8320796,-60.6725911,0
1067748755,2.8281838,-60.6803391,0
1067748756,2.8052274,-60.6780695,0
1067748757,2.8338865,-60.673994,0
1067748758,2.8347799,-60.6813392,0
1067748761,2.7962067,-60.6844325,0
1067748762,2.8251377,-60.675783,0
1067748763,2.8343044,-60.677332,0
1067748764,2.84392,-60.6669159,0
1067748766,2.8222483,-60.6932565,0
1067748767,2.8095017,-60.6828915,0
1067748770,2.8121099,-60.6774872,0
1067748771,2.8345549,-60.6764603,0
1067748772,2.8163801,-60.6768804,0
1067748773,2.831495,-60.6737564,0
1067748774,2.8322282,-60.6744151,0
1067748775,2.8129335,-60.6843582,0
1067748776,2.7985843,-60.6839584,0
1067748778,2.8358613,-60.6758405,0
1067748779,2.8279734,-60.6761622,0
1067748780,2.8405281,-60.673134,0
1067748781,2.8263357,-60.6876804,0
1067748782,2.7984641,-60.6834023,0
1067748783,2.8272344,-60.6726691,0
1067748784,2.8170859,-60.6779826,0
1067748786,2.8073396,-60.683415,0
1067748787,2.8014161,-60.6838256,0
1067748788,2.8383763,-60.6733395,0
1067748789,2.8199205,-60.6933778,0
1067748790,2.8152453,-60.6876896,0
1067748791,2.7951606,-60.6830511,0
1067748792,2.7987592,-60.689021,0
1067748793,2.8171958,-60.676156,0
1067748794,2.8365359,-60.6717785,0
1067748795,2.8077338,-60.6759001,0
1067748797,2.8323287,-60.6738438,0
1067748798,2.8019987,-60.6861819,0
1067748802,2.8176305,-60.6726805,0
1067748805,2.8175808,-60.6709266,0
1067748807,2.8325122,-60.6713668,0
1067748808,2.8359388,-60.6903595,0
1067748809,2.8357517,-60.6800316,0
1067748811,2.8241894,-60.6884075,0
1067748812,2.8214655,-60.667503,0
1067748815,2.8215102,-60.68116,0
1067748816,2.7990947,-60.6792685,0
1067748818,2.8206049,-60.6645465,0
1067748819,2.8005594,-60.6845552,0
1067748820,2.8369587,-60.6771384,0
1067748823,2.8356054,-60.689909,0
1067748824,2.8331718,-60.6622233,0
1067748825,2.8332127,-60.6835889,0
1067748826,2.8186281,-60.6757585,0
1067748827,2.8300642,-60.6746357,0
1067748828,2.796709,-60.6799807,0
1067748830,2.7982629,-60.6851238,0
1067748832,2.8024365,-60.6829203,0
1067748833,2.8332328,-60.6769551,0
1067748834,2.8253508,-60.6771754,0
1067748837,2.8117946,-60.6808922,0
1067748839,2.8317014,-60.6889846,0
1067748840,2.8308378,-60.6800021,0
1067748842,2.8004944,-60.6860452,0
1067748843,2.8200301,-60.6915998,2
1067748844,2.8315373,-60.6726023,0
1067748845,2.8223154,-60.6943559,0
1067748847,2.8410487,-60.6680485,0
1067748848,2.8057184,-60.6745724,0
1067748850,2.8368989,-60.6716792,0
1067748852,2.8068229,-60.6728641,0
1067748853,2.8340097,-60.6823732,0
1067748856,2.7996493,-60.6803857,0
1067748858,2.826648,-60.6885731,0
1067748859,2.8319858,-60.6757307,0
1067748861,2.8229006,-60.6932091,0
1067748862,2.8147925,-60.6888843,0
1067748863,2.8165641,-60.6736212,0
1067748865,2.8322221,-60.6848766,0
1067748866,2.8173988,-60.6775644,0
1067748870,2.8206276,-60.6630454,0
1067748871,2.8361073,-60.6742099,0
1067748872,2.7997162,-60.6819038,0
1067748877,2.7966461,-60.6829096,0
1067748878,2.8196358,-60.665419,0
1067748879,2.8204789,-60.6847802,0
1067748880,2.8297582,-60.6757401,0
1067748881,2.8055579,-60.6814161,0
1067748882,2.836694,-60.6770624,0
1067748883,2.832433,-60.6876699,0
1067748884,2.821139,-60.6751928,1
1067748885,2.7992822,-60.6871046,0
1067748886,2.8325872,-60.6784679,0
1067748888,2.8391392,-60.6726978,0
1067748889,2.8186768,-60.6923113,0
1067748890,2.8244325,-60.6744218,0
1067748891,2.8201508,-60.6897729,0
1067748892,2.7948203,-60.6818555,0
1067748893,2.7973547,-60.6873728,0
1067748894,2.81653,-60.6843732,0
1067748895,2.8355045,-60.6705527,0
1067748899,2.8088243,-60.6785547,0
1067748900,2.8385994,-60.6765749,0
1067748902,2.8157079,-60.6725335,0
1067748906,2.8012848,-60.6853732,0
1067748909,2.8220976,-60.6907861,0
1067748910,2.8314898,-60.6714938,0
1067748914,2.8289103,-60.6881198,0
1067748915,2.8411628,-60.6705222,0
1067748919,2.8282973,-60.6664617,0
1067748922,2.8350783,-60.6725561,0
1067748925,2.8164854,-60.6767785,0
1067748926,2.8226188,-60.6885208,0
1067748929,2.8395471,-60.6731007,0
1067748930,2.8181725,-60.6753064,1
1067748932,2.8374633,-60.6652775,0
1067748934,2.8360054,-60.6724994,0
1067748936,2.8217658,-60.6847814,0
1067748937,2.8353165,-60.6694049,0
1067748940,2.8222871,-60.6763473,0
1067748945,2.8349948,-60.6653291,0
1067748948,2.8187352,-60.6856013,0
1067748949,2.8046911,-60.6803656,0
1067748951,2.8165118,-60.6753847,0
1067748957,2.8220027,-60.688843,0
1067748958,2.7960353,-60.6814814,0
1067748959,2.7979936,-60.689693,0
